return-average,return-min,return-max,return-std,episode-length-avg,episode-length-min,episode-length-max,episode-length-std,AverageProgress,MaxProgress,MinProgress,StdProgress,AverageTimeInGoal,MaxTimeInGoal,MinTimeInGoal,StdTimeInGoal,MeanBeginGoalDistance,StdBeginGoalDistance,MinBeginGoalDistance,MaxBeginGoalDistance,MeanFinalGoalDistance,StdFinalGoalDistance,MinFinalGoalDistance,MaxFinalGoalDistance,MeanProgressTowardsGoal,StdProgressTowardsGoal,MinProgressTowardsGoal,MaxProgressTowardsGoal,qf1-avg,qf1-std,qf2-avg,qf2-std,mean-qf-diff,vf-avg,vf-std,mean-sq-bellman-error1,mean-sq-bellman-error2,time-train,time-eval,time-sample,time-total,epoch,pool-size,max-path-return,last-path-return,episodes,total-samples
-2240.1155676343515,-2240.1155676343515,-2240.1155676343515,0.0,1000.0,1000,1000,0.0,0.04720158948575471,0.04720158948575471,0.04720158948575471,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,8.483127769837296,0.0,8.483127769837296,8.483127769837296,0.0021536044012737676,0.0,0.0021536044012737676,0.0021536044012737676,-549.9166,128.06964,-549.9166,128.06964,2.295053,-553.4125,128.30197,5.097618,5.231829,15.199754748784471,17.028487303992733,14.373348391061882,552.7186006180564,12,13000,[-1456.95486928],[-3001.34330809],13,13000
-1972.8888390334919,-1972.8888390334919,-1972.8888390334919,0.0,1000.0,1000,1000,0.0,1.2103814616417092,1.2103814616417092,1.2103814616417092,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,7.336977863746801,0.0,7.336977863746801,7.336977863746801,1.1483035104917683,0.0,1.1483035104917683,1.1483035104917683,-606.1028,139.91638,-606.1028,139.91638,2.0240493,-607.5769,140.15208,5.432844,4.494758,15.079729575270903,16.773425157996826,14.191782731984858,598.6604004113178,13,14000,[-1456.95486928],[-3115.41460749],14,14000
-2123.832079111732,-2123.832079111732,-2123.832079111732,0.0,1000.0,1000,1000,0.0,0.7988994237453878,0.7988994237453878,0.7988994237453878,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,8.23633993012602,0.0,8.23633993012602,8.23633993012602,0.2489414441125497,0.0,0.2489414441125497,0.2489414441125497,-632.58545,144.82573,-632.58545,144.82573,2.0516305,-632.4634,145.1764,4.146217,4.0977774,14.926989880055771,16.667398193996632,13.816120076022344,644.0752972724149,14,15000,[-1456.95486928],[-2119.95926745],15,15000
-3186.7934815441404,-3186.7934815441404,-3186.7934815441404,0.0,1000.0,1000,1000,0.0,1.5064993003937555,1.5064993003937555,1.5064993003937555,0.0,0.0,0,0,0.0,12.0,0.0,12.0,12.0,10.645424156147564,0.0,10.645424156147564,10.645424156147564,1.3545758438524356,0.0,1.3545758438524356,1.3545758438524356,-668.09576,151.36745,-668.09576,151.36745,2.305572,-670.58716,152.22917,5.3436217,4.7197375,15.006732444031513,16.672047339001438,13.954867861131788,689.7106709755753,15,16000,[-1456.95486928],[-2970.79393482],16,16000
-1951.8030816315727,-1951.8030816315727,-1951.8030816315727,0.0,1000.0,1000,1000,0.0,8.117032680849663,8.117032680849663,8.117032680849663,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,7.7008841315360135,0.0,7.7008841315360135,7.7008841315360135,0.7843972427025561,0.0,0.7843972427025561,0.7843972427025561,-705.1726,149.97742,-705.1726,149.97742,2.2892468,-707.2138,149.95677,4.892057,5.520998,14.920809756746166,16.67769621600746,13.860980970261153,735.1726604245923,16,17000,[-1456.95486928],[-2131.5429191],17,17000
-1847.8000992807447,-1847.8000992807447,-1847.8000992807447,0.0,1000.0,1000,1000,0.0,5.5488515312193245,5.5488515312193245,5.5488515312193245,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,6.025631356199625,0.0,6.025631356199625,6.025631356199625,2.4596500180389445,0.0,2.4596500180389445,2.4596500180389445,-722.0445,156.78404,-722.0445,156.78404,2.3981528,-723.72253,156.87585,5.6117234,5.240433,14.833659245996387,16.680220414011274,13.79221022418642,780.5867551867996,17,18000,[-1456.95486928],[-2395.85046601],18,18000
-2099.8838602756646,-2099.8838602756646,-2099.8838602756646,0.0,1000.0,1000,1000,0.0,7.983072510706807,7.983072510706807,7.983072510706807,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,7.536531477912249,0.0,7.536531477912249,7.536531477912249,0.9487498963263201,0.0,0.9487498963263201,0.9487498963263201,-753.0476,152.2193,-753.0476,152.2193,2.3146687,-753.09143,151.59224,5.1676164,4.5563364,15.08330264891265,16.78669216799608,14.172650523978518,826.5188768356893,18,19000,[-1456.95486928],[-2068.81040827],19,19000
-3062.922274026898,-3062.922274026898,-3062.922274026898,0.0,1000.0,1000,1000,0.0,1.048484538687437,1.048484538687437,1.048484538687437,0.0,0.0,0,0,0.0,12.0,0.0,12.0,12.0,11.433376772147774,0.0,11.433376772147774,11.433376772147774,0.5666232278522259,0.0,0.5666232278522259,0.5666232278522259,-757.7699,158.37743,-757.7699,158.37743,2.7735243,-757.63806,158.25168,7.8615084,6.937806,14.99985784679302,16.679251180990832,14.022928822101676,872.6977861445921,19,20000,[-1456.95486928],[-2003.58179498],20,20000
-3322.1689616750145,-3322.1689616750145,-3322.1689616750145,0.0,1000.0,1000,1000,0.0,1.0247868687701867,1.0247868687701867,1.0247868687701867,0.0,0.0,0,0,0.0,12.0,0.0,12.0,12.0,11.997841011125503,0.0,11.997841011125503,11.997841011125503,0.0021589888744966146,0.0,0.0021589888744966146,0.0021589888744966146,-795.10645,177.41064,-795.10645,177.41064,2.334053,-795.44934,177.05576,5.967174,4.537963,15.15414819403668,17.15795190699282,14.391141061976668,918.9623787616001,20,21000,[-1456.95486928],[-3139.245471],21,21000
-1902.594245416208,-1902.594245416208,-1902.594245416208,0.0,1000.0,1000,1000,0.0,5.894216063967779,5.894216063967779,5.894216063967779,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,5.488277124937141,0.0,5.488277124937141,5.488277124937141,2.997004249301429,0.0,2.997004249301429,2.997004249301429,-854.1903,179.78148,-854.1903,179.78148,2.4908233,-854.056,179.77493,7.2488256,6.8429966,15.02826576345251,16.719293613001355,14.001386450443533,964.6564474335028,21,22000,[-1456.95486928],[-3249.34837958],22,22000
