return-average,return-min,return-max,return-std,episode-length-avg,episode-length-min,episode-length-max,episode-length-std,AverageProgress,MaxProgress,MinProgress,StdProgress,AverageTimeInGoal,MaxTimeInGoal,MinTimeInGoal,StdTimeInGoal,MeanBeginGoalDistance,StdBeginGoalDistance,MinBeginGoalDistance,MaxBeginGoalDistance,MeanFinalGoalDistance,StdFinalGoalDistance,MinFinalGoalDistance,MaxFinalGoalDistance,MeanProgressTowardsGoal,StdProgressTowardsGoal,MinProgressTowardsGoal,MaxProgressTowardsGoal,qf1-avg,qf1-std,qf2-avg,qf2-std,mean-qf-diff,vf-avg,vf-std,mean-sq-bellman-error1,mean-sq-bellman-error2,time-train,time-eval,time-sample,time-total,epoch,pool-size,max-path-return,last-path-return,episodes,total-samples
-1983.2392541819402,-1983.2392541819402,-1983.2392541819402,0.0,1000.0,1000,1000,0.0,2.3714374408941867,2.3714374408941867,2.3714374408941867,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,6.6692979770735,0.0,6.6692979770735,6.6692979770735,1.8159833971650698,0.0,1.8159833971650698,1.8159833971650698,0.33608758,0.48570517,0.33608758,0.48570517,2.0973456,-1.454706,0.43791777,141.10307,108.69073,0.2578624290035805,0,5.199053324999113,25.831316115014488,0,1000,[-2942.05977473],[-2942.05977473],1,1000
-3175.171723824329,-3175.171723824329,-3175.171723824329,0.0,1000.0,1000,1000,0.0,0.9402471435299958,0.9402471435299958,0.9402471435299958,0.0,0.0,0,0,0.0,12.0,0.0,12.0,12.0,12.245775222493199,0.0,12.245775222493199,12.245775222493199,-0.24577522249319905,0.0,-0.24577522249319905,-0.24577522249319905,-67.63425,10.722277,-67.63425,10.722277,0.6164789,-69.959755,11.257968,0.8019345,0.6616467,21.546889951940102,0,4.55156301902025,68.59591199496208,1,2000,[-2176.30138106],[-2176.30138106],2,2000
-3227.7053734257506,-3227.7053734257506,-3227.7053734257506,0.0,1000.0,1000,1000,0.0,1.1957315498997776,1.1957315498997776,1.1957315498997776,0.0,0.0,0,0,0.0,12.0,0.0,12.0,12.0,10.983277688283655,0.0,10.983277688283655,10.983277688283655,1.0167223117163449,0.0,1.0167223117163449,1.0167223117163449,-120.219635,22.997097,-120.219635,22.997097,0.9773897,-122.42956,23.602482,1.3249466,1.4218464,22.390072778092872,16.66679426900373,4.71365268806403,112.36319206811459,2,3000,[-1872.40654559],[-1872.40654559],3,3000
-2105.3205863566986,-2105.3205863566986,-2105.3205863566986,0.0,1000.0,1000,1000,0.0,0.6965620923304218,0.6965620923304218,0.6965620923304218,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,9.082625655334185,0.0,9.082625655334185,9.082625655334185,-0.5973442810956158,0.0,-0.5973442810956158,-0.5973442810956158,-170.50598,37.03253,-170.50598,37.03253,1.191225,-170.88052,37.404316,1.750253,1.6248301,21.670628915017005,16.66318547999981,4.596384296884935,155.3008127990106,3,4000,[-1872.40654559],[-2148.68744478],4,4000
-2193.6986189471713,-2193.6986189471713,-2193.6986189471713,0.0,1000.0,1000,1000,0.0,1.41011495897224,1.41011495897224,1.41011495897224,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,8.36001990305028,0.0,8.36001990305028,8.36001990305028,0.12526147118829023,0.0,0.12526147118829023,0.12526147118829023,-209.29591,40.641293,-209.29591,40.641293,1.5487185,-209.90274,40.678864,2.2033088,2.3257318,21.575015572147095,16.674504848997458,4.493924844915455,198.04029946207447,4,5000,[-1872.40654559],[-2213.40053083],5,5000
-1975.065676354618,-1975.065676354618,-1975.065676354618,0.0,1000.0,1000,1000,0.0,0.8934157885428946,0.8934157885428946,0.8934157885428946,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,7.5880276994071725,0.0,7.5880276994071725,7.5880276994071725,0.8972536748313971,0.0,0.8972536748313971,0.8972536748313971,-257.95126,50.563446,-257.95126,50.563446,1.6362333,-257.469,50.39859,2.4271927,2.5659184,21.55126700107212,16.66941842900269,4.525039443033165,240.7938392641663,5,6000,[-1872.40654559],[-1958.12949204],6,6000
-2322.9462961908935,-2322.9462961908935,-2322.9462961908935,0.0,1000.0,1000,1000,0.0,0.9549972333165009,0.9549972333165009,0.9549972333165009,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,9.357026515767089,0.0,9.357026515767089,9.357026515767089,-0.8717451415285193,0.0,-0.8717451415285193,-0.8717451415285193,-286.37933,53.744873,-286.37933,53.744873,1.865625,-286.5587,54.148647,5.1155667,3.3997037,21.56973110220133,16.677121954999166,4.512107656883018,283.5452918842566,6,7000,[-1872.40654559],[-2038.73757558],7,7000
-2207.930839566786,-2207.930839566786,-2207.930839566786,0.0,1000.0,1000,1000,0.0,0.42783780557312096,0.42783780557312096,0.42783780557312096,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,8.895947252977956,0.0,8.895947252977956,8.895947252977956,-0.41066587873938687,0.0,-0.41066587873938687,-0.41066587873938687,-337.4789,63.740303,-337.4789,63.740303,1.6754866,-337.67816,63.712566,3.4953785,3.2046206,21.53507275992888,16.67313101300533,4.492725629082997,326.40105005327496,7,8000,[-1872.40654559],[-2338.63700188],8,8000
-1660.2805346128973,-1660.2805346128973,-1660.2805346128973,0.0,1000.0,1000,1000,0.0,6.256884332801758,6.256884332801758,6.256884332801758,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,5.077255190498956,0.0,5.077255190498956,5.077255190498956,3.4080261837396133,0.0,3.4080261837396133,3.4080261837396133,-366.75085,67.15152,-366.75085,67.15152,2.313592,-367.49194,66.69848,5.408729,4.771179,22.289642922965868,16.827187089998915,4.694509408007434,370.0718551192549,8,9000,[-1872.40654559],[-1991.14641351],9,9000
-2193.4892302870758,-2193.4892302870758,-2193.4892302870758,0.0,1000.0,1000,1000,0.0,3.064226808261455,3.064226808261455,3.064226808261455,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,7.34467045549344,0.0,7.34467045549344,7.34467045549344,1.1406109187451294,0.0,1.1406109187451294,1.1406109187451294,-423.4555,79.77418,-423.4555,79.77418,2.2279716,-425.0097,80.60803,3.7189631,3.938791,22.678725490841316,16.68689290900511,4.86437484696944,414.3038159170683,9,10000,[-1872.40654559],[-2883.11941893],10,10000
